Sample,Pitch
156,-1.08123
157,-1.09026
158,-1.08211
159,-1.06902
160,-1.06193
161,-1.06909
162,-1.09317
163,-1.08009
164,-1.06062
165,-1.04365
166,-1.05137
167,-1.04429
168,-1.05126
169,-1.04387
170,-1.05156
171,-1.04875
172,-1.04671
173,-1.04952
174,-1.06754
175,-1.07523
176,-1.08017
177,-1.07636
178,-1.0894
179,-1.10164
180,-1.08781
181,-1.09305
182,-1.09547
183,-1.09371
184,-1.10292
185,-1.12345
186,-1.12598
187,-1.11842
188,-1.12424
189,-1.1254
190,-1.12808
191,-1.12094
192,-1.13336
193,-1.11667
194,-1.10806
195,-1.10382
196,-1.1099
197,-1.11287
198,-1.12672
199,-1.11113
200,-1.13854
201,-1.12635
202,-1.13628
203,-1.14397
204,-1.13657
205,-1.12936
206,-1.12562
207,-1.13523
208,-1.12714
209,-1.11488
210,-1.12369
211,-1.12349
212,-1.11566
213,-1.11186
214,-1.10699
215,-1.09317
216,-1.08948
217,-1.05977
218,-1.07357
219,-1.0737
220,-1.084
221,-1.11023
222,-1.10713
223,-1.11373
224,-1.10988
225,-1.12367
226,-1.10605
227,-1.11167
228,-1.11373
229,-1.11029
230,-1.12344
231,-1.11569
232,-1.12214
233,-1.11687
234,-1.10264
235,-1.11434
236,-1.12029
237,-1.10822
238,-1.11049
239,-1.09712
240,-1.10275
241,-1.10387
242,-1.11684
243,-1.10969
244,-1.11137
245,-1.11607
246,-1.09777
247,-1.09516
248,-1.0911
249,-1.09967
250,-1.10743
251,-1.1185
252,-1.11244
253,-1.13385
254,-1.13076
255,-1.12468
256,-1.12878
257,-1.12825
258,-1.13842
259,-1.13823
260,-1.13176
261,-1.127
262,-1.12559
263,-1.10468
264,-1.08987
265,-1.06758
266,-1.06535
267,-1.0775
268,-1.06986
269,-1.08146
270,-1.08559
271,-1.08802
272,-1.08757
273,-1.10972
274,-1.10094
275,-1.10773
276,-1.12832
277,-1.11695
278,-1.12821
279,-1.12956
280,-1.12335
281,-1.1158
282,-1.1299
283,-1.12993
284,-1.15053
285,-1.1585
286,-1.15448
287,-1.16152
288,-1.17056
289,-1.16337
290,-1.16374
291,-1.17061
292,-1.15291
293,-1.16121
294,-1.15968
295,-1.15115
296,-1.15808
297,-1.16058
298,-1.16657
299,-1.16884
300,-1.14971
301,-1.1462
302,-1.13024
303,-1.12196
304,-1.11713
305,-1.12016
306,-1.11962
307,-1.12235
308,-1.12381
309,-1.11252
310,-1.12087
311,-1.12818
312,-1.13669
313,-1.15488
314,-1.14423
315,-1.13065
316,-1.12851
317,-1.12692
318,-1.12061
319,-1.12776
320,-1.13445
321,-1.14093
322,-1.14023
323,-1.14035
324,-1.15019
325,-1.15619
326,-1.15963
327,-1.15369
328,-1.13455
329,-1.12671
330,-1.10783
331,-1.10393
332,-1.09932
333,-1.11735
334,-1.12651
335,-1.11589
336,-1.12268
337,-1.13332
338,-1.12423
339,-1.12378
340,-1.12837
341,-1.14195
342,-1.14317
343,-1.13021
344,-1.104
345,-1.09456
346,-1.1034
347,-1.10407
348,-1.10879
349,-1.10438
350,-1.10588
351,-1.10835
352,-1.11634
353,-1.13353
354,-1.13847
355,-1.1481
356,-1.15686
357,-1.15507
358,-1.16525
359,-1.14848
360,-1.14373
361,-1.14049
362,-1.12131
363,-1.11944
364,-1.1083
365,-1.11138
366,-1.11185
367,-1.11759
368,-1.1223
369,-1.13724
370,-1.14263
371,-1.12668
372,-1.11721
373,-1.1141
374,-1.11993
375,-1.12673
376,-1.12332
377,-1.1215
378,-1.12617
379,-1.12625
380,-1.13778
381,-1.13228
382,-1.13079
383,-1.13215
384,-1.13189
385,-1.14776
386,-1.12216
387,-1.13732
388,-1.13872
389,-1.13811
390,-1.14665
391,-1.15064
392,-1.14719
393,-1.14396
394,-1.13255
395,-1.1332
396,-1.14205
397,-1.13358
398,-1.14338
399,-1.15303
400,-1.15753
401,-1.16482
402,-1.16006
403,-1.15444
404,-1.15584
405,-1.16521
406,-1.17752
407,-1.16712
408,-1.16725
409,-1.15416
410,-1.14638
411,-1.13806
412,-1.13455
413,-1.13414
414,-1.13445
415,-1.15118
416,-1.15698
417,-1.15895
418,-1.15374
419,-1.15976
420,-1.16808
421,-1.16282
422,-1.17489
423,-1.17036
424,-1.17444
425,-1.1782
426,-1.18834
427,-1.18051
428,-1.17978
429,-1.18216
430,-1.17294
431,-1.15476
432,-1.15572
433,-1.1595
434,-1.15697
435,-1.15239
436,-1.15344
437,-1.15218
438,-1.14433
439,-1.14498
440,-1.144
441,-1.14589
442,-1.15155
443,-1.15499
444,-1.15998
445,-1.17438
446,-1.18491
447,-1.17475
448,-1.16096
449,-1.15854
450,-1.15845
451,-1.15923
452,-1.1622
453,-1.17663
454,-1.17983
455,-1.18228
456,-1.20042
457,-1.20251
458,-1.19562
459,-1.19366
460,-1.19624
461,-1.19394
462,-1.19355
463,-1.18624
464,-1.16797
465,-1.16972
466,-1.15771
467,-1.1552
468,-1.16384
469,-1.15711
470,-1.1479
471,-1.15948
472,-1.17303
473,-1.1774
474,-1.17184
475,-1.16681
476,-1.162
477,-1.15681
478,-1.16117
479,-1.1603
480,-1.16301
481,-1.15736
482,-1.16487
483,-1.173
484,-1.17664
485,-1.1717
486,-1.17051
487,-1.17373
488,-1.17769
489,-1.1735
490,-1.1812
491,-1.18739
492,-1.16926
493,-1.16427
494,-1.16863
495,-1.17524
496,-1.16598
497,-1.17042
498,-1.16116
499,-1.16617
500,-1.16538
501,-1.15639
502,-1.13575
503,-1.13771
504,-1.13017
505,-1.13905
506,-1.12249
507,-1.13236
508,-1.10786
509,-1.10844
510,-1.10378
511,-1.10458
512,-1.09703
513,-1.10002
514,-1.09995
515,-1.09366
516,-1.08064
517,-1.08354
518,-1.09786
519,-1.09133
520,-1.09164
521,-1.07857
522,-1.08352
523,-1.08564
524,-1.09131
525,-1.0975
526,-1.08377
527,-1.09699
528,-1.09862
529,-1.0877
530,-1.09811
531,-1.08822
532,-1.08911
533,-1.09278
534,-1.09543
535,-1.10292
536,-1.09461
537,-1.10568
538,-1.11456
539,-1.11215
540,-1.09334
541,-1.09832
542,-1.09868
543,-1.09847
544,-1.09639
545,-1.0999
546,-1.09844
547,-1.10115
548,-1.09161
549,-1.10101
550,-1.08838
551,-1.07959
552,-1.08981
553,-1.09863
554,-1.08963
555,-1.10164
556,-1.11165
557,-1.10239
558,-1.09978
559,-1.0869
560,-1.10253
561,-1.10952
562,-1.10655
563,-1.11933
564,-1.11273
565,-1.12511
566,-1.11456
567,-1.11617
568,-1.10601
569,-1.11342
570,-1.10038
571,-1.08581
572,-1.08277
573,-1.06359
574,-1.06234
575,-1.06295
576,-1.07108
577,-1.07231
578,-1.06053
579,-1.06539
580,-1.09016
581,-1.08065
582,-1.07232
583,-1.05914
584,-1.05286
585,-1.04424
586,-1.04098
587,-1.04981
588,-1.04716
589,-1.03217
590,-1.03422
591,-1.03566
592,-1.03997
593,-1.03192
594,-1.04927
595,-1.06182
596,-1.06362
597,-1.057
598,-1.07538
599,-1.06178
600,-1.05863
601,-1.0624
602,-1.0649
603,-1.07244
604,-1.08099
605,-1.09514
606,-1.11079
607,-1.11577
608,-1.10905
609,-1.12281
610,-1.11704
611,-1.09793
612,-1.08516
613,-1.09733
614,-1.0911
615,-1.08663
616,-1.09243
617,-1.09077
618,-1.09754
619,-1.10828
620,-1.10406
621,-1.10984
622,-1.11393
623,-1.1135
624,-1.12008
625,-1.12118
626,-1.1322
627,-1.12268
628,-1.10866
629,-1.09796
630,-1.07965
631,-1.08582
632,-1.08024
633,-1.09142
634,-1.08994
635,-1.09121
636,-1.09092
637,-1.10028
638,-1.11636
639,-1.1374
640,-1.13566
641,-1.12962
642,-1.12879
643,-1.13616
644,-1.13716
645,-1.12132
646,-1.11679
647,-1.13476
648,-1.12122
649,-1.12591
650,-1.11846
651,-1.10454
652,-1.11702
653,-1.10887
654,-1.09885
655,-1.11356
656,-1.10436
657,-1.1009
658,-1.08931
659,-1.08827
660,-1.08477
661,-1.08174
662,-1.0985
663,-1.09971
664,-1.11848
665,-1.12741
666,-1.12907
667,-1.13383
668,-1.1163
669,-1.12536
670,-1.1157
671,-1.10021
672,-1.10025
673,-1.10244
674,-1.09396
675,-1.09122
676,-1.08947
677,-1.09242
678,-1.07635
679,-1.06749
680,-1.08717
681,-1.10782
682,-1.10751
683,-1.10659
684,-1.10916
685,-1.10906
686,-1.09614
687,-1.09224
688,-1.07609
689,-1.07906
690,-1.08437
691,-1.08152
692,-1.07984
693,-1.09554
694,-1.09208
695,-1.08475
696,-1.06835
697,-1.0649
698,-1.06057
699,-1.06065
700,-1.07829
701,-1.08858
702,-1.07041
703,-1.0889
704,-1.10709
705,-1.09963
706,-1.08491
707,-1.08064
708,-1.07947
709,-1.08583
710,-1.09102
711,-1.09784
712,-1.11086
713,-1.11888
714,-1.11921
715,-1.11163
716,-1.10623
717,-1.1006
718,-1.11772
719,-1.11083
720,-1.09278
721,-1.09071
722,-1.10587
723,-1.10841
724,-1.09877
725,-1.10086
726,-1.10597
727,-1.11962
728,-1.13901
729,-1.13377
730,-1.142
731,-1.13738
732,-1.12182
733,-1.12997
734,-1.11602
735,-1.13116
736,-1.12096
737,-1.12032
738,-1.13924
739,-1.14532
740,-1.14911
741,-1.12533
742,-1.11055
743,-1.11323
744,-1.11518
745,-1.09763
746,-1.09977
747,-1.10268
748,-1.08836
749,-1.08441
750,-1.07875
751,-1.07575
752,-1.0682
753,-1.08021
754,-1.09335
755,-1.08906
756,-1.08574
757,-1.09194
758,-1.11132
759,-1.11871
760,-1.12554
761,-1.13079
762,-1.12194
763,-1.13047
764,-1.11397
765,-1.11447
766,-1.10017
767,-1.09064
768,-1.07478
769,-1.09023
770,-1.08194
771,-1.09315
772,-1.0962
773,-1.09472
774,-1.09598
775,-1.09527
776,-1.10059
777,-1.10142
778,-1.09207
779,-1.10334
780,-1.10719
781,-1.10301
782,-1.10157
783,-1.08181
784,-1.08559
785,-1.08874
786,-1.08656
787,-1.06825
788,-1.07195
789,-1.07631
790,-1.07762
791,-1.07926
792,-1.08643
793,-1.09601
794,-1.09867
795,-1.11637
796,-1.11538
797,-1.12479
798,-1.13375
799,-1.13662
800,-1.13004
801,-1.12671
802,-1.12592
803,-1.13085
804,-1.12466
805,-1.11304
806,-1.10669
807,-1.10037
808,-1.09546
809,-1.10482
810,-1.12029
811,-1.12673
812,-1.12909
813,-1.14146
814,-1.14605
815,-1.14482
816,-1.15165
817,-1.15866
818,-1.16357
819,-1.16852
820,-1.18552
821,-1.19359
822,-1.21212
823,-1.21478
824,-1.21585
825,-1.21989
826,-1.20515
827,-1.19918
828,-1.19531
829,-1.19504
830,-1.1872
831,-1.17794
832,-1.18141
833,-1.1794
834,-1.17911
835,-1.16817
836,-1.16176
837,-1.17123
838,-1.16232
839,-1.14226
840,-1.13513
841,-1.12216
842,-1.1087
843,-1.10078
844,-1.08729
845,-1.10613
846,-1.0972
847,-1.08804
848,-1.08959
849,-1.08403
850,-1.07906
851,-1.08461
852,-1.08255
853,-1.08501
854,-1.06443
855,-1.06518
856,-1.07813
857,-1.08506
858,-1.10733
859,-1.1085
860,-1.10988
861,-1.12133
862,-1.14096
863,-1.12767
864,-1.12123
865,-1.12141
866,-1.10669
867,-1.10695
868,-1.11009
869,-1.11534
870,-1.11789
871,-1.11807
872,-1.1225
873,-1.11987
874,-1.12204
875,-1.12135
876,-1.11736
877,-1.11381
878,-1.11827
879,-1.1338
880,-1.12025
881,-1.13322
882,-1.11546
883,-1.10437
884,-1.11622
885,-1.11066
886,-1.12158
887,-1.12179
888,-1.11687
889,-1.1268
890,-1.1283
891,-1.12286
892,-1.11982
893,-1.11741
894,-1.13095
895,-1.12639
896,-1.11069
897,-1.10423
898,-1.11298
899,-1.09165
900,-1.08453
901,-1.07443
902,-1.08464
903,-1.08806
904,-1.09393
905,-1.09663
906,-1.07721
907,-1.08062
908,-1.08433
909,-1.09
910,-1.0961
911,-1.08947
912,-1.07917
913,-1.0765
914,-1.07424
915,-1.06888
916,-1.06852
917,-1.07451
918,-1.07576
919,-1.08313
920,-1.08716
921,-1.08719
922,-1.10972
923,-1.11147
924,-1.10367
925,-1.09482
926,-1.10186
927,-1.0962
928,-1.10562
929,-1.09632
930,-1.09783
931,-1.09735
932,-1.11864
933,-1.11942
934,-1.12162
935,-1.12381
936,-1.12663
937,-1.12746
938,-1.13502
939,-1.12919
940,-1.13186
941,-1.13068
942,-1.12756
943,-1.13438
944,-1.12802
945,-1.1287
946,-1.11231
947,-1.11138
948,-1.11357
949,-1.13472
950,-1.15318
951,-1.14749
952,-1.14812
953,-1.13546
954,-1.13712
955,-1.1471
956,-1.1356
957,-1.1231
958,-1.11878
959,-1.12026
960,-1.11826
961,-1.11549
962,-1.10155
963,-1.11608
964,-1.10885
965,-1.07882
966,-1.05311
967,-1.06026
968,-1.06085
969,-1.05527
970,-1.05697
971,-1.05002
972,-1.06149
973,-1.06584
974,-1.07629
975,-1.07677
976,-1.08451
977,-1.07538
978,-1.07719
979,-1.07724
980,-1.07443
981,-1.06649
982,-1.08488
983,-1.08196
984,-1.08862
985,-1.09363
986,-1.0833
987,-1.0707
988,-1.07648
989,-1.06135
990,-1.06933
991,-1.05568
992,-1.05707
993,-1.05224
994,-1.06022
995,-1.05613
996,-1.06413
997,-1.06741
998,-1.06887
999,-1.0595
